Date,AAPL,MSFT,GOOG,AMZN,TSLA,BRK-A,NVDA,FB,V,JPM,JNJ,XOM,GE,WFC,WMT,CVX,IBM,PG,T,BAC, SPY, XLB, XLC, XLE, XLF, XLI, XLK, XLP, XLRE, XLU, XLV, XLY
1/3/2006,2.669642925,26.84000015,216.8023682,47.58000183,4.777999878,89300,3.184999943,38.22999954,14.125,40.18999863,61.63000107,58.47000122,272.0769348,31.89999962,46.22999954,59.08000183,78.45124054,58.77999878,24.70999908,47.08000183,126.6999969,30.92000008,49.95999908,52.70000076,26.15759468,31.62999916,21.30999947,23.44000053,30.20999908,32,32.11000061,33
12/29/2006,3.029999971,29.86000061,229.3802338,39.45999908,4.777999878,109990,6.168333054,38.22999954,14.125,48.29999924,66.01999664,76.62999725,286.2307739,35.56000137,46.18000031,73.52999878,92.87763214,64.26999664,35.75,53.38999939,141.6199951,34.84000015,49.95999908,58.63000107,29.84565353,35.00999832,23.26000023,26.12000084,30.20999908,36.72000122,33.49000168,38.36000061
1/3/2007,2.992856979,29.86000061,232.9219513,38.70000076,4.777999878,109000,6.013332844,38.22999954,14.125,48.06999969,66.40000153,74.11000061,292.0769348,35.74000168,47.54999924,70.97000122,92.99235535,64.54000092,34.95000076,53.33000183,141.3699951,34.61000061,49.95999908,56.58000183,29.9918766,35.22999954,23.32999992,26.29000092,30.20999908,36.81999969,33.5,38.52000046
12/31/2007,7.074285984,35.59999847,344.4489136,92.63999939,4.777999878,141600,8.505000114,38.22999954,14.125,43.65000153,66.69999695,93.69000244,285.1538391,30.19000053,47.52999878,93.33000183,103.346077,73.41999817,41.56000137,41.25999832,146.2100067,41.70000076,49.95999908,79.34999847,23.5012188,39.15999985,26.65999985,28.79999924,30.20999908,42.33000183,35.31000137,32.70000076
1/2/2008,6.958570957,35.22000122,341.3156738,96.25,4.777999878,139300,8.25249958,38.22999954,14.125,42.16999817,65.91000366,93.51000214,282.7692261,29.10000038,46.90000153,93.45999908,100.0860443,72.30999756,41,40.56000137,144.9299927,41.29999924,49.95999908,79.5,23.0381794,38.50999832,26.12000084,28.38999939,30.20999908,42.09000015,34.93999863,32.20000076
12/31/2008,3.048213959,19.44000053,153.2505798,51.27999878,4.777999878,96600,2.017499924,38.22999954,13.11250019,31.53000069,59.83000183,79.83000183,124.615387,29.47999954,56.06000137,73.97000122,80.45889282,61.81999969,28.5,14.07999992,90.23999786,22.73999977,49.95999908,47.77000046,10.17059326,23.42000008,15.40999985,23.87000084,30.20999908,29.03000069,26.54999924,21.56999969
1/2/2009,3.241070986,20.32999992,160.0600586,54.36000061,4.777999878,99990,2.17750001,38.22999954,13.35999966,31.35000038,60.65000153,81.63999939,131.3076935,30,57.18000031,76.51999664,83.52772522,62.79999924,29.42000008,14.32999992,92.95999908,23.56999969,49.95999908,50.15000153,10.28432178,24.28000069,15.98999977,24.20999908,30.20999908,29.70999908,27.09000015,22.64999962
12/31/2009,7.526071072,30.47999954,308.832428,134.5200043,4.777999878,99200,4.670000076,38.22999954,21.86499977,41.66999817,64.41000366,68.19000244,116.384613,26.98999977,53.45000076,76.98999786,125.1434021,60.63000107,28.03000069,15.06000042,111.4400024,32.99000168,49.95999908,57.00999832,11.69780731,27.79000092,22.93000031,26.46999931,30.20999908,31.02000046,31.06999969,29.77000046
1/4/2010,7.643214226,30.95000076,312.2047729,133.8999939,4.777999878,99600,4.622499943,38.22999954,22.03499985,42.84999847,64.68000031,69.15000153,118.8461533,27.31999969,54.22999954,79.05999756,126.6252365,61.11999893,28.57999992,15.68999958,113.3300018,34.02000046,49.95999908,58.81000137,11.9333868,28.31999969,23.27000046,26.67000008,30.20999908,31.07999992,31.61000061,30
12/31/2010,11.52000046,27.90999985,295.8759766,180,5.326000214,120450,3.849999905,38.22999954,17.59499931,42.41999817,61.84999847,73.12000275,140.6923065,30.98999977,53.93000031,91.25,140.3059235,64.33000183,29.37999916,13.34000015,125.75,38.40999985,49.95999908,68.25,12.95694637,34.86999893,25.19000053,29.30999947,30.20999908,31.34000015,31.5,37.40999985
1/3/2011,11.77035713,27.97999954,301.0466003,184.2200012,5.323999882,120498,3.954999924,38.22999954,17.62999916,43.58000183,62.81999969,74.55000305,140.615387,31.57999992,54.56000137,91.94000244,140.9942627,64.76999664,29.67000008,14.18999958,127.0500031,38.72000122,49.95999908,68.76000214,13.2412672,35.11999893,25.46999931,29.35000038,30.20999908,31.48999977,31.79000092,37.84999847
12/30/2011,14.46428585,25.95999908,321.7440186,173.1000061,5.711999893,114755,3.464999914,38.22999954,25.38249969,33.25,65.58000183,84.76000214,137.7692261,27.55999947,59.75999832,106.4000015,175.7935028,66.70999908,30.23999977,5.559999943,125.5,33.5,49.95999908,69.12999725,10.56052017,33.75,25.45000076,32.49000168,30.20999908,35.97999954,34.68999863,39.02000046
1/3/2012,14.6867857,26.77000046,331.4625854,179.0299988,5.616000175,116320,3.50999999,38.22999954,25.74749947,34.97999954,65.87999725,86,141.2307739,28.43000031,60.33000183,110.3700027,178.1070709,66.83000183,30.37999916,5.800000191,127.5,34.43000031,49.95999908,71.05000305,10.83671761,34.49000168,25.80999947,32.45999908,30.20999908,35.34000015,35.13999939,39.34999847
12/31/2012,19.00607109,26.70999908,352.3692322,250.8699951,6.774000168,134060,3.065000057,26.62000084,37.89500046,43.97000122,70.09999847,86.55000305,161.4615326,34.18000031,68.23000336,108.1399994,183.1261902,67.88999939,33.70999908,11.60999966,142.4100037,37.54000092,49.95999908,71.41999817,13.31437874,37.90000153,28.85000038,34.90000153,30.20999908,34.91999817,39.88000107,47.43999863
1/2/2013,19.60821342,27.62000084,360.2745972,257.3099976,7.072000027,139610,3.180000067,28,38.84500122,44.65999985,70.83999634,88.70999908,164.1538391,35.04999924,69.23999786,110.3899994,187.7151031,69.38999939,35,12.02999973,146.0599976,38.47999954,49.95999908,73,13.7043047,38.81000137,29.80999947,35.79999924,30.20999908,35.56000137,40.66999817,48.43000031
12/31/2013,20.03642845,37.40999985,558.2625122,398.7900085,30.08600044,177900,4.005000114,54.65000153,55.66999817,58.47999954,91.58999634,101.1999969,215.615387,45.40000153,78.69000244,124.9100037,179.321228,81.41000366,35.15999985,15.56999969,184.6900024,46.22000122,49.95999908,88.51000214,17.75791931,52.25999832,35.74000168,42.97999954,30.20999908,37.97000122,55.43999863,66.83000183
1/2/2014,19.75464249,37.15999985,554.4816895,397.9700012,30.02000046,176320,3.964999914,54.70999908,55.25249863,58.20999908,91.02999878,99.75,211.5384674,45.02000046,78.91000366,124.1399994,177.3709412,80.54000092,34.95000076,16.10000038,182.9199982,45.84999847,49.95999908,87.25,17.66043854,51.52999878,35.38999939,42.45000076,30.20999908,37.38999939,55.13000107,66.51999664
12/31/2014,27.59499931,46.45000076,524.9587402,310.3500061,44.48199844,226000,5.012499809,78.01999664,65.55000305,62.58000183,104.5699997,92.44999695,194.384613,54.81999969,85.87999725,112.1800003,153.3843231,91.08999634,33.59000015,17.88999939,205.5399933,48.58000183,49.95999908,79.16000366,20.08935738,56.58000183,41.34999847,48.49000168,30.20999908,47.22000122,68.37999725,72.15000153
1/2/2015,27.33250046,46.75999832,523.3731079,308.519989,43.86199951,223600,5.03249979,78.44999695,66.25499725,62.49000168,104.5199966,92.83000183,192.7692261,54.70000076,85.90000153,112.5800018,154.933075,90.44000244,33.86999893,17.89999962,205.4299927,48.65000153,49.95999908,79.52999878,20.08935738,56.50999832,41.27000046,48.34999847,30.20999908,47.43999863,68.62999725,71.62999725
12/31/2015,26.31500053,55.47999954,758.8800049,675.8900146,48.0019989,197800,8.239999771,104.6600037,77.55000305,66.02999878,102.7200012,77.94999695,239.615387,54.36000061,61.29999924,89.95999908,131.5678711,79.41000366,34.40999985,16.82999992,203.8699951,43.41999817,49.95999908,60.31999969,19.35824585,53.00999832,42.83000183,50.49000168,31.18400002,43.27999878,72.02999878,78.16000366
1/4/2016,26.33749962,54.79999924,741.8400269,636.9899902,44.68199921,196295,8.092499733,102.2200012,75.69999695,63.61999893,100.4800034,77.45999908,236.2307739,52.90999985,61.45999908,88.84999847,129.9713135,78.37000275,34.34999847,16.43000031,201.0200043,42.74000168,49.95999908,60.29999924,18.98456573,52.29999924,42.27000046,49.84999847,30.45999908,43.18999863,70.73000336,76.81999969
12/30/2016,28.95499992,62.13999939,771.8200073,749.8699951,42.73799896,244121,26.68499947,115.0500031,78.01999664,86.29000092,115.2099991,90.26000214,243.0769196,55.11000061,69.12000275,117.6999969,158.6902466,84.08000183,42.52999878,22.10000038,223.5299988,49.70000076,49.95999908,75.31999969,23.25,62.22000122,48.36000061,51.70999908,30.75,48.56999969,68.94000244,81.40000153
1/3/2017,29.03750038,62.58000183,786.1400146,753.6699829,43.39799881,245850,25.50250053,116.8600006,79.5,87.23000336,115.8399963,90.88999939,243.7692261,56,68.66000366,117.8499985,159.8374786,84.19999695,43.02000046,22.53000069,225.2400055,49.99000168,49.95999908,76.16999817,23.51000023,62.59000015,48.79000092,51.90000153,30.85000038,48.45000076,69.83999634,81.87999725
12/29/2017,42.30749893,85.54000092,1046.400024,1169.469971,62.27000046,297600,48.375,176.4600067,114.0199966,106.9400024,139.7200012,83.63999939,134.2307739,60.66999817,98.75,125.1900024,146.6730347,91.87999725,38.88000107,29.52000046,266.8599854,60.52999878,49.95999908,72.26000214,27.90999985,75.66999817,63.95000076,56.88999939,32.93999863,52.68000031,82.68000031,98.69000244
1/2/2018,43.06499863,85.94999695,1065,1189.01001,64.10600281,295755,49.83750153,181.4199982,114.5100021,107.9499969,139.2299957,85.02999878,138.3076935,61.09000015,98.58999634,127.5800018,147.4665375,90.65000153,38.54000092,29.89999962,268.769989,61.38999939,49.95999908,73.44999695,27.92000008,76.12000275,64.73999786,56.54000092,32.75,52.18999863,83.61000061,100.1900024
12/31/2018,39.43500137,101.5699997,1035.609985,1501.969971,66.55999756,306000,33.375,131.0899963,131.9400024,97.62000275,129.0500031,68.19000244,58.23077011,46.08000183,93.15000153,108.7900009,108.6711273,91.91999817,28.54000092,24.63999939,249.9199982,50.52000046,41.27999878,57.34999847,23.81999969,64.41000366,61.97999954,50.77999878,31,52.91999817,86.51000214,99.01000214
1/2/2019,39.47999954,101.1200027,1045.849976,1539.130005,62.02399826,304057,34.05500031,135.6799927,132.9199982,99.30999756,127.75,69.69000244,61.92307663,46.93999863,93.33999634,110.6900024,110.1434021,91.27999878,29.54000092,24.95999908,250.1799927,50.77999878,41.83000183,58.47999954,24.02000046,64.73999786,62.02000046,50.47999954,30.29000092,52.00999832,85.19999695,99.76000214
12/31/2019,73.41249847,157.6999969,1337.02002,1847.839966,83.66600037,339590,58.82500076,205.25,187.8999939,139.3999939,145.8699951,69.77999878,89.27999878,53.79999924,118.8399963,120.5100021,128.1453094,124.9000015,39.08000183,35.22000122,321.8599854,61.41999817,53.63000107,60.04000092,30.78000069,81.47000122,91.66999817,62.97999954,38.66999817,64.62000275,101.8600006,125.4199982
1/2/2020,75.08750153,160.6199951,1367.369995,1898.01001,86.05200195,342261,59.97750092,209.7799988,191.1199951,141.0899963,145.9700012,70.90000153,95.44000244,53.75,118.9400024,121.4300003,129.4646301,123.4100037,38.86000061,35.63999939,324.8699951,60.70000076,54.25999832,60.58000183,31.07999992,83.01000214,93.38999939,62.47999954,38.22000122,63.81000137,102.1299973,126.9100037
12/31/2020,132.6900024,222.4199982,1751.880005,3256.929932,705.6699829,347815,130.5500031,273.1600037,218.7299957,127.0699997,157.3800049,41.22000122,86.40000153,30.18000031,144.1499939,84.44999695,120.3441696,139.1399994,28.76000023,30.30999947,373.8800049,72.38999939,67.48000336,37.90000153,29.47999954,88.55000305,130.0200043,67.44999695,36.56000137,62.70000076,113.4400024,160.7799988
1/4/2021,129.4100037,217.6900024,1728.23999,3186.629883,729.7700195,343525,131.1349945,268.9400024,217.7599945,125.8700027,156.5,41.5,83.76000214,29.70000076,146.5299988,84.70999908,118.4894867,137.8200073,29.44000053,30.03000069,368.7900085,71.69999695,66.48000336,37.95999908,29.07999992,86.41000366,127.9000015,66.72000122,35.38000107,61.11999893,112.9499969,159.4199982
12/30/2021,178.1999969,339.3200073,2920.050049,3372.889893,1070.339966,452700,295.8599854,344.3599854,217.8699951,158.4799957,172.3099976,60.79000092,94.69999695,48.09999847,143.1699982,117.4300003,133.9100037,162.7700043,24.78000069,44.52999878,476.1600037,90.20999908,78.76999664,55.36000061,39.11999893,105.3600006,174.7200012,76.58999634,51.70000076,71.33000183,141.4900055,204.9299927
